solver,r,c,comp,time,sing_values
randomized,100000,700,16,2.6865344762802126,"[9891.363070341358, 9879.409370193365, 9867.582203652344, 9862.128432232435, 9856.584389240154, 9852.45887743373, 9847.750017350214, 9841.38196244916, 9834.920068015359, 9828.243378806032, 9824.51237415635, 9820.530353915525, 9816.903742746914, 9124.382840227623, 0.953028465588477, 0.9518335066942378]"
randomized,30000,1000,6,0.7804115295410157,"[5901.499596248526, 5891.25921555581, 5886.096078769396, 5878.8256331406255, 5867.385822822002, 5866.503132601967]"
full,30000,200,10,0.3524700164794921,"[5397.578042955298, 5393.9515312177255, 5371.863598120236, 5016.6020319216095, 0.5365983977986435, 0.5363187550923394, 0.5350013489294085, 0.5348818556890605, 0.5341956722425564, 0.5338543646342588]"
randomized,70000,400,6,0.8131222009658814,"[8200.45565213154, 8192.548416846463, 8191.824299456942, 8176.064146692055, 8171.403778285491, 8166.1003048893335]"
full,10000,100,7,0.0431972026824951,"[3160.2583022109748, 2897.632484680488, 0.31546357449009654, 0.3140465845511489, 0.31222205251933177, 0.3108375684016383, 0.3103470795016449]"
full,50000,500,5,2.1172414779663087,"[7089.760396376955, 7083.308992633254, 7071.190092257084, 7063.217581693532, 7053.122170233787]"
full,20000,1000,1,2.4959009647369386,[4982.466033149158]
randomized,60000,200,6,0.3913705110549926,"[7462.155953247902, 7456.911345664503, 7446.159408098178, 7057.552594659013, 0.7307608038033961, 0.726085414008218]"
full,20000,800,12,1.744573211669922,"[4885.5490911048655, 4876.06631919357, 4869.117620584575, 4865.023245812143, 4860.67117380655, 4854.124144959868, 4847.32241145416, 4842.890847757141, 4836.749213328394, 4832.408752864036, 4829.136962583723, 4826.882776234928]"
full,80000,800,12,7.732015013694763,"[8968.282350418216, 8963.795430771605, 8952.274209743417, 8946.788686512167, 8943.400312013806, 8935.944982017547, 8932.69602327367, 8924.146541956534, 8922.803166139105, 8919.871792927852, 8916.827897680912, 8908.91403318772]"
full,20000,900,18,2.0864269971847533,"[4941.2149446742305, 4927.561694220759, 4922.236671774438, 4917.950959660196, 4909.128859210938, 4905.950906514539, 4904.149257763522, 4893.334367274959, 4886.709321985078, 4882.9326306892435, 4880.367316048451, 4875.8457835850795, 4871.2980782385175, 4867.418577116551, 4865.707964502694, 4861.248296804272, 4856.430420254019, 4068.351397157361]"
randomized,80000,700,4,1.5343833684921264,"[8929.394155534512, 8914.93789366741, 8900.5925178484, 8898.42564402334]"
full,20000,500,7,0.7541922092437744,"[4716.999064296411, 4708.638486998781, 4698.771192054108, 4696.939928542366, 4684.755600146226, 4677.63815784251, 4671.750009569901]"
