solver,r,c,comp,time,sing_values
full,50000,700,16,1.807835578918457,"[72.2563395187443, 72.00416193101985, 71.9564319036944, 71.86975176466125, 71.85483184153068, 71.75850379740403, 71.6771195437117, 71.63173531824785, 71.59162622396583, 71.55397024971892, 71.51522942239188, 71.48172471289143, 71.44409474124268, 71.35219129817435, 71.34892628576262, 71.2657245604332]"
randomized,30000,800,10,0.9668946266174316,"[56.446953801306655, 56.23884070879329, 56.175001935718875, 56.14400672152813, 56.09619615527538, 55.93296731437316, 55.82372579225666, 55.759072701159226, 55.62765059474421, 55.61075009757806]"
randomized,50000,600,6,0.759068489074707,"[69.4936751723555, 69.27330132200657, 69.2338214016272, 68.98731423081573, 68.89858253015635, 68.74075125258302]"
randomized,20000,900,2,0.6192138195037842,"[47.913816069708886, 47.71422027489729]"
randomized,30000,200,16,0.7628533840179443,"[53.011844716634094, 52.816804247285624, 52.79840715660592, 52.56058488787416, 52.45239078514697, 52.40075521330641, 52.316114681038435, 52.23841470622002, 52.225953071999974, 52.06436337466378, 52.01861310279214, 51.92121564076767, 51.8259695330334, 51.75895180746219, 51.66114345012785, 51.533355060972355]"
randomized,50000,1000,14,1.215606689453125,"[71.64336100844967, 71.32454273622105, 71.22927492024115, 71.09657541358641, 71.0498959197898, 71.01205067223462, 70.91186797126407, 70.80427265806384, 70.68382933765582, 70.59137740738001, 70.51806954146484, 70.44376874008542, 70.39651496164853, 70.25058171846982]"
full,90000,600,4,2.917585611343384,"[93.4946742375939, 93.39501866372187, 93.31291493376092, 93.24168222166999]"
full,10000,800,4,0.5411374568939209,"[36.95010365789055, 36.89445833321581, 36.7820526099522, 36.73153666171044]"
full,30000,300,6,0.3235504627227783,"[55.00507120774564, 54.81498383886841, 54.73444958863093, 54.67252354279357, 54.567141027397454, 54.561419851935554]"
randomized,100000,800,14,1.5593056678771973,"[96.74606152848558, 96.66102358725487, 96.37937460662744, 96.1602309758986, 96.08757070451088, 96.0324810710214, 96.01038534294905, 95.84506934235377, 95.72282540242878, 95.63863950038998, 95.4801086537422, 95.43116355165007, 95.3602545965135, 95.20793895778993]"
randomized,100000,700,1,1.134364366531372,[95.87803182228122]
randomized,20000,200,6,0.384981632232666,"[44.0063628519153, 43.80260635695713, 43.66278128047753, 43.463153396219155, 43.29422720583173, 43.213064537589915]"
randomized,60000,200,1,0.3865301609039306,[73.25939700617336]
randomized,80000,600,18,1.3886239528656006,"[86.46026894044331, 86.21740241351164, 86.19874290462492, 86.09781709856446, 85.99022701586354, 85.94353161618454, 85.82752827286428, 85.79337410167413, 85.56428479281355, 85.3966065036171, 85.3892008221038, 85.26919254572503, 85.20351976100086, 85.11290356792344, 84.96767640292413, 84.93084253201745, 84.9215849903566, 84.73983237323203]"
full,50000,100,18,0.5161254405975342,"[67.18011402687739, 67.105374188695, 67.08694221731125, 66.95927756081987, 66.91658916409149, 66.82133756154678, 66.74447583335329, 66.65533393128854, 66.63267527453553, 66.57469186284388, 66.52312891061649, 66.38304970927564, 66.37464546053346, 66.30985296415578, 66.24297563374473, 66.18434809721514, 66.15059449760398, 66.1293863068734]"
full,70000,800,14,3.638081789016724,"[84.47464645743726, 84.37893302165618, 84.28538182035184, 84.1779385850365, 84.15794463173759, 84.1506865161997, 84.07340445319511, 83.99062024784445, 83.92725227016514, 83.90809265865155, 83.87610357173662, 83.84735731622187, 83.82707574049347, 83.73394927166268]"
full,60000,100,4,0.4580740928649902,"[73.37485525641434, 73.34009066892628, 73.23497963664778, 73.16195728359817]"
randomized,60000,1000,10,1.60801362991333,"[77.45988201869504, 77.2324851337114, 77.11045508002168, 77.04911466996221, 77.00068137940657, 76.8202957149495, 76.68473768490573, 76.60796780319122, 76.53626264898458, 76.31998762174041]"
randomized,60000,200,16,0.8841774463653564,"[73.35344120599083, 73.18101981784578, 73.09400658815925, 73.00425128360796, 72.86850590595536, 72.72272506490005, 72.60230949414708, 72.55443697614413, 72.50092227405872, 72.33687108107789, 72.17790267427421, 72.13165984676033, 72.105605878654, 72.03819974072307, 71.92482044076185, 71.81504853408154]"
randomized,40000,800,1,0.6670784950256348,[63.719488471528834]
randomized,80000,700,8,1.1131269931793213,"[86.73343702789695, 86.60009048461646, 86.51965721237653, 86.25824985154553, 86.03549575554452, 85.916455724599, 85.8845619580106, 85.6962087964313]"
full,100000,600,12,3.759925603866577,"[98.27379489772197, 98.10751519057399, 98.0387177909835, 97.95870383516315, 97.86979854431135, 97.84148133984327, 97.81104910642644, 97.78236658145717, 97.74054697399058, 97.70942649366722, 97.67841594071959, 97.63757253446444]"
randomized,70000,200,20,0.9477047920227052,"[79.02492338956836, 78.94977719289813, 78.73669659425913, 78.61957323144932, 78.48312426415778, 78.43372009964303, 78.31723244963382, 78.2529096182928, 78.23015663985872, 78.16029063952469, 78.09000238996418, 77.97379053113954, 77.8236789899863, 77.67464870897626, 77.55407623336096, 77.5168793845872, 77.47598597188265, 77.26328481577681, 77.21841329985473, 77.17659064041332]"
randomized,90000,200,10,0.5881404876708984,"[88.99367847589944, 88.7257868564174, 88.64557213545265, 88.49489384173589, 88.43488196164922, 88.37299556809211, 88.25764563477586, 88.08847293589345, 87.95230741848569, 87.89071624303725]"
randomized,70000,900,6,1.2606840133666992,"[82.30276544606832, 82.21057349402442, 82.09364395504335, 81.94099447798139, 81.77099348312991, 81.74331853378916]"
randomized,100000,600,20,1.6802000999450684,"[95.8751803052143, 95.71430610073617, 95.58594492871268, 95.447876939832, 95.27048736609026, 95.0821462417869, 95.0538298549156, 94.97580056922646, 94.89745199144042, 94.83771773932787, 94.7615430685235, 94.69949529569432, 94.67178828219477, 94.59411603107635, 94.50057049598676, 94.40716629326272, 94.36700530913173, 94.2833003860949, 94.15496557135303, 94.0354586131446]"
full,100000,600,20,3.7221486568450928,"[98.27379489772197, 98.10751519057399, 98.0387177909835, 97.95870383516315, 97.86979854431135, 97.84148133984327, 97.81104910642644, 97.78236658145717, 97.74054697399058, 97.70942649366722, 97.67841594071959, 97.63757253446444, 97.62136844156542, 97.51453352113914, 97.4871919652666, 97.44015313460825, 97.39944575379248, 97.38346605856528, 97.38064562866491, 97.33059913792466]"
randomized,10000,500,2,0.2992212772369385,"[34.562729768844676, 34.4323036292478]"
full,20000,700,10,0.7258005142211914,"[48.40371493913746, 48.31445942653332, 48.19835321013423, 48.15524432869323, 48.13158820896761, 48.065563371235676, 48.0315764009646, 47.97775440452904, 47.906954140520185, 47.80458188938033]"
full,50000,300,10,0.9397530555725098,"[69.65049979728107, 69.33510001239102, 69.24593952234513, 69.18871279644708, 69.11680567554409, 69.0951124186726, 69.07101125362799, 69.0010728009114, 68.85954344991265, 68.8089769051307]"
full,50000,1000,12,3.144587278366089,"[73.7003659114524, 73.47510854679764, 73.45515732575402, 73.43056694266082, 73.36813599395556, 73.34182538756657, 73.23710158986162, 73.18031406762388, 73.10689401379834, 73.05323220677272, 73.027767508989, 72.98559924440599]"
full,10000,500,18,0.264406681060791,"[35.297578675590884, 35.215596226493815, 35.052995654772864, 35.03185106127017, 34.983396619172375, 34.90779815667448, 34.887989826417524, 34.77945376626101, 34.751165671509995, 34.604974690793235, 34.58919314715226, 34.5480760913069, 34.473634358050404, 34.44230275934556, 34.42580041954398, 34.39344506585812, 34.34422523926291, 34.29790169189962]"
randomized,90000,800,2,1.4549322128295898,"[91.72432845726878, 91.49965629984126]"
